cm^-1,Intensity
3200.946194,0.9169
3205.644716,0.9144
3210.343239,0.912
3215.041762,0.9131
3219.740285,0.9151
3224.438808,0.9176
3229.137331,0.9222
3233.835854,0.9331
3238.534376,0.9463
3243.232899,0.9552
3247.931422,0.9623
3252.629945,0.9726
3257.328468,0.978
3262.026991,0.979
3266.725514,0.981
3271.424036,0.981
3276.122559,0.981
3280.821082,0.982
3285.519605,0.982
3290.218128,0.9814
3294.916651,0.982
3299.615174,0.982
3304.313696,0.983
3309.012219,0.983
3313.710742,0.985
3318.409265,0.986
3323.107788,0.988
3327.806311,0.988
3332.504834,0.989
3337.203356,0.989
3341.901879,0.989
3346.600402,0.988
3351.298925,0.988
3355.997448,0.988
3360.695971,0.9862
3365.394494,0.988
3370.093017,0.988
3374.791539,0.9868
3379.490062,0.986
3384.188585,0.9838
3388.887108,0.982
3393.585631,0.9814
3398.284154,0.981
3402.982677,0.9784
3407.681199,0.9778
3412.379722,0.976
3417.078245,0.9759
3421.776768,0.975
3426.475291,0.976
3431.173814,0.9786
3435.872337,0.9821
3440.570859,0.9842
3445.269382,0.9881
3449.967905,0.9902
3454.666428,0.992
3459.364951,0.992
3464.063474,0.992
3468.761997,0.992
3473.460519,0.992
3478.159042,0.994
3482.857565,0.995
3487.556088,0.995
3492.254611,0.995
3496.953134,0.995
3501.651657,0.995
3506.350179,0.995
3511.048702,0.995
3515.747225,0.995
3520.445748,0.995
3525.144271,0.995
3529.842794,0.994
3534.541317,0.992
3539.23984,0.992
3543.938362,0.9932
3548.636885,0.994
3553.335408,0.994
3558.033931,0.9937
3562.732454,0.991
3567.430977,0.9892
3572.1295,0.9932
3576.828022,0.9979
3581.526545,0.9932
3586.225068,0.9832
3590.923591,0.9872
3595.622114,0.9892
3600.320637,0.991
3605.01916,0.988
3609.717682,0.986
3614.416205,0.986
3619.114728,0.9872
3623.813251,0.99
3628.511774,0.9786
3633.210297,0.9865
3637.90882,0.995
3642.607342,0.9938
3647.305865,0.985
3652.004388,0.9823
3656.702911,0.9886
3661.401434,0.9714
3666.099957,0.959
3670.79848,0.96
3675.497002,0.9594
3680.195525,0.9627
3684.894048,0.9552
3689.592571,0.9548
3694.291094,0.9626
3698.989617,0.9661
3703.68814,0.9682
3708.386662,0.9721
3713.085185,0.9742
3717.783708,0.976
3722.482231,0.9772
3727.180754,0.979
3731.879277,0.9702
3736.5778,0.9667
3741.276323,0.981
3745.974845,0.9821
3750.673368,0.985
3755.371891,0.9821
3760.070414,0.989
3764.768937,0.9922
3769.46746,0.995
3774.165983,0.998
3778.864505,0.995
3783.563028,0.994
3788.261551,0.9946
3792.960074,0.998
3797.658597,0.998
